Département,Commune,ETABLISSEMENT,Code UAI
Ain,Oyonnax,Collège Lumière ,0010035H
Ain,Oyonnax ,Collège Ampère ,0010802S
Allier,Montluçon,Collège Jules VERNE ,0030119N
Allier,Montluçon,Collège Jean ZAY ,0030030S
LOIRE, LA RICAMARIE ,Jules Vallès ,0421689H
LOIRE,SAINT CHAMOND ,Jean Rostand ,0421688g
LOIRE,SAINT ETIENNE ,Jules Vallès ,0421176A
LOIRE,SAINT ETIENNE ,Marc Seguin ,0421451Z
Drôme, Pierrelatte,collège G. Jaume ,0261090U
Isère ,Echirolles,Collége jean Vilar ,0381903M
Isère ,Grenoble,Collége Lucie Aubrac ,0382032C
RHôNE,LYON 8 MOULIN A VENT,Collège LONGCHAMBON,0692340U
RHôNE,LYON 9 DUCHERE,Collège VICTOR SCHOELCHER,0690036P
RHôNE,PIERRE BENITE HAUTES ROCHES,Collège MARCEL PAGNOL,0690076H
RHôNE,RILLIEUX LA PAPE VILLE NOUVELLE,Collège PAUL-EMILE VICTOR,0692159X
RHôNE,RILLIEUX LA PAPE VILLE NOUVELLE,Collège MARIA CASARES,0691498D
RHôNE,SAINT FONS ARSENAL CARNOT PARMENTIER,Collège ALAIN,0692342W
RHôNE,VAULX EN VELIN GRANDE ILE,Collège HENRI BARBUSSE,0692336P
RHôNE,VAULX EN VELIN GRANDE ILE,Collège AIME CESAIRE,0691666L
RHôNE,VAULX EN VELIN GRANDE ILE,Collège PIERRE VALDO,0690249W
RHôNE,VAULX EN VELIN SUD,Collège JACQUES DUCLOS,0691793Z
RHôNE,VENISSIEUX SAINT FONS MINQUETTES CLOCHETTES,Collège ELSA TRIOLET,0692343X
RHôNE,VENISSIEUX SAINT FONS ,Collège PAUL ELUARD,0691730F
RHôNE,VENISSIEUX,Collège JULES MICHELET,0690094C
RHôNE,VILLEFRANCHE BELLIGNY,Collège JEAN MOULIN,0690099H
RHôNE,VILLEURBANNE ,SIMONE LAGRANGE,0694296V
RHôNE,VILLEURBANNE ,Collège LAMARTINE,0692337R
Puy-de-Dôme,Clermont-Ferrand,La Charme,0631199L
Puy-de-Dôme,Clermont-Ferrand,Charles Baudelaire,0631502R
Puy-de-Dôme,Clermont-Ferrand,Albert Camus,0631522M
Savoie,Chambéry,Collège Côte Rousse ,0730901H
Cher,Bourges,Collège le Grand Meaulnes,0180766K
Eure-et-Loir,Dreux,collège P&M CURIE ,0280716B
Eure-et-Loir,Dreux,collège LOUIS ARMAND ,0280865N
Eure-et-Loir,Chateauroux,Rosa Parks,0360541T
Indre-et-Loire,Jouè les Tours,Collége la Rabière,0370071B
Indre-et-Loire,Saint-Pierre des corps,Collège Jacques Decour ,0370766G
Loir-et-Cher,Blois,Collège BEGON ,0410003F
Loir-et-Cher,Blois,Collège RABELAIS,0410952M
Loiret,Orléans,Collège Jean Rostand,0450936Y
Loiret,Saint Jean de la Ruelle ,collège André Malraux ,0451241E
