Département,Commune,ETABLISSEMENT,Code UAI,
HAUTE GARONNE,Toulouse,Clémence Isaure,0310037K,
HAUTE GARONNE,Toulouse,Lamartine,0311327Z,
HAUTE GARONNE,Toulouse,Zola,0311338I,
GIRONDE,Mérignac,Jules ferry,0330146E,
GIRONDE,Pessac,François Mitterrand,0330106L,
GIRONDE,Pessac,Gérard Philippe,0332191C,
GIRONDE,Talence,Victor Louise,0332195G,
INDRE et LOIRE,Tours,Alpahonse de Lamartine,0370769K,
INDRE et LOIRE,Tours,Jules Michelet,0370041U,
INDRE et LOIRE,Tours,Jean de La Bruyère,0371158H,
YVELINES,Versailles,Clagny,0781298M,
YVELINES,Guyancourt,Ariane,0783378Y,
YVELINES,Mesnils Saint Denis,De Champaigne,0780512H,
COTE D'OR,Edouard Herriot,Chenôve,0211096C,
COTE D'OR,Bachelard,Dijon,0211162X,
COTE D'OR,Carnot,Dijon,0211525U,
COTE D'OR,Champollion,Dijon,0210024M,
COTE D'OR,Boris Vian,Talant,0211523S,
COTE D'OR,Longvic,Roland Dorgelès,0210057Y,
COTE D'OR,Dijon,Gaston Roupnel,0211136W,
